,lat,long,elevation,temp,rain
0,-88.75,-178.75,0.0,-45.39813232421875,0.8119513988494873
1,-88.75,-176.25,0.0,-45.39813232421875,0.725325882434845
2,-88.75,-173.75,0.0,-45.39813232421875,0.73960280418396
3,-88.75,-171.25,0.0,-45.39813232421875,0.7280001640319824
4,-88.75,-168.75,0.0,-45.39813232421875,0.7761433720588684
5,-88.75,-166.25,0.0,-45.39813232421875,0.7513713240623474
6,-88.75,-163.75,0.0,-45.39813232421875,0.7346141934394836
7,-88.75,-161.25,0.0,-45.39813232421875,0.743318498134613
8,-88.75,-158.75,0.0,-45.39813232421875,0.7673771381378174
9,-88.75,-156.25,0.0,-45.39813232421875,0.7715354561805725
10,-88.75,-153.75,0.0,-45.39813232421875,0.7654960751533508
11,-88.75,-151.25,0.0,-45.39813232421875,0.7417468428611755
12,-88.75,-148.75,0.0,-45.39813232421875,0.7155132293701172
13,-88.75,-146.25,0.0,-45.39813232421875,0.6906275749206543
14,-88.75,-143.75,0.0,-45.39813232421875,0.6852366924285889
15,-88.75,-141.25,0.0,-45.39813232421875,0.6856918931007385
16,-88.75,-138.75,0.0,-45.39813232421875,0.7356821894645691
17,-88.75,-136.25,0.0,-45.39813232421875,0.7365174293518066
18,-88.75,-133.75,0.0,-45.39813232421875,0.7590749263763428
19,-88.75,-131.25,0.0,-45.39813232421875,0.7766890525817871
20,-88.75,-128.75,0.0,-45.39813232421875,0.8149442672729492
21,-88.75,-126.25,0.0,-45.39813232421875,0.8070103526115417
22,-88.75,-123.75,0.0,-45.39813232421875,0.7020732760429382
23,-88.75,-121.25,0.0,-45.39813232421875,0.6810755133628845
24,-88.75,-118.75,0.0,-45.39813232421875,0.6665508151054382
25,-88.75,-116.25,0.0,-45.39813232421875,0.6263592839241028
26,-88.75,-113.75,0.0,-45.39813232421875,0.6154089570045471
27,-88.75,-111.25,0.0,-45.39813232421875,0.6301076412200928
28,-88.75,-108.75,0.0,-45.39813232421875,0.5963520407676697
29,-88.75,-106.25,0.0,-45.39813232421875,0.5715963244438171
30,-88.75,-103.75,0.0,-45.39813232421875,0.5390518307685852
31,-88.75,-101.25,0.0,-45.39813232421875,0.547720730304718
32,-88.75,-98.75,0.0,-45.39813232421875,0.5278353691101074
33,-88.75,-96.25,0.0,-45.39813232421875,0.5036900639533997
34,-88.75,-93.75,0.0,-45.39813232421875,0.4797689616680145
35,-88.75,-91.25,0.0,-45.39813232421875,0.455215185880661
36,-88.75,-88.75,0.0,-45.39813232421875,0.46055057644844055
37,-88.75,-86.25,0.0,-45.39813232421875,0.4553796350955963
38,-88.75,-83.75,0.0,-45.39813232421875,0.4376380145549774
39,-88.75,-81.25,0.0,-45.39813232421875,0.44213125109672546
40,-88.75,-78.75,0.0,-45.39813232421875,0.4135643541812897
41,-88.75,-76.25,0.0,-45.39813232421875,0.42091700434684753
42,-88.75,-73.75,0.0,-45.39813232421875,0.4135480225086212
43,-88.75,-71.25,0.0,-45.39813232421875,0.3894120454788208
44,-88.75,-68.75,0.0,-45.39813232421875,0.3766169250011444
45,-88.75,-66.25,0.0,-45.39813232421875,0.36332619190216064
46,-88.75,-63.75,0.0,-45.39813232421875,0.34978187084198
47,-88.75,-61.25,0.0,-45.39813232421875,0.3460547626018524
48,-88.75,-58.75,0.0,-45.39813232421875,0.3278880715370178
49,-88.75,-56.25,0.0,-45.39813232421875,0.32412299513816833
