,lat,long,elevation,temp,rain
0,-88.75,-178.75,3069.0,-34.637481689453125,0.5790778398513794
1,-88.75,-176.25,3060.0,-34.637481689453125,0.5299919247627258
2,-88.75,-173.75,3051.0,-34.637481689453125,0.5376718640327454
3,-88.75,-171.25,3041.0,-34.637481689453125,0.5231743454933167
4,-88.75,-168.75,3030.0,-34.637481689453125,0.5636956095695496
5,-88.75,-166.25,3021.0,-34.637481689453125,0.5505805611610413
6,-88.75,-163.75,3013.0,-34.637481689453125,0.5578954219818115
7,-88.75,-161.25,3004.0,-34.637481689453125,0.5474655032157898
8,-88.75,-158.75,2996.0,-34.637481689453125,0.5671069025993347
9,-88.75,-156.25,2989.0,-34.637481689453125,0.5721972584724426
10,-88.75,-153.75,2980.0,-34.637481689453125,0.6030276417732239
11,-88.75,-151.25,2972.0,-34.637481689453125,0.5660869479179382
12,-88.75,-148.75,2965.0,-34.637481689453125,0.5256784558296204
13,-88.75,-146.25,2957.0,-34.637481689453125,0.48950615525245667
14,-88.75,-143.75,2949.0,-34.637481689453125,0.49323490262031555
15,-88.75,-141.25,2941.0,-34.637481689453125,0.4889223277568817
16,-88.75,-138.75,2931.0,-34.637481689453125,0.5221063494682312
17,-88.75,-136.25,2921.0,-34.637481689453125,0.5393792390823364
18,-88.75,-133.75,2911.0,-34.637481689453125,0.5777177810668945
19,-88.75,-131.25,2900.0,-34.637481689453125,0.5500698685646057
20,-88.75,-128.75,2890.0,-34.637481689453125,0.5898763537406921
21,-88.75,-126.25,2880.0,-34.637481689453125,0.568566620349884
22,-88.75,-123.75,2871.0,-34.637481689453125,0.49684610962867737
23,-88.75,-121.25,2862.0,-34.637481689453125,0.4699234068393707
24,-88.75,-118.75,2853.0,-34.637481689453125,0.4278835356235504
25,-88.75,-116.25,2843.0,-34.637481689453125,0.4209193289279938
26,-88.75,-113.75,2832.0,-34.637481689453125,0.38233867287635803
27,-88.75,-111.25,2820.0,-34.637481689453125,0.3926813304424286
28,-88.75,-108.75,2809.0,-34.637481689453125,0.33934149146080017
29,-88.75,-106.25,2798.0,-34.637481689453125,0.3270769715309143
30,-88.75,-103.75,2788.0,-34.637481689453125,0.27902281284332275
31,-88.75,-101.25,2777.0,-34.637481689453125,0.30006781220436096
32,-88.75,-98.75,2767.0,-34.637481689453125,0.28307923674583435
33,-88.75,-96.25,2757.0,-34.637481689453125,0.2538299858570099
34,-88.75,-93.75,2747.0,-34.637481689453125,0.2597135305404663
35,-88.75,-91.25,2737.0,-34.637481689453125,0.24695827066898346
36,-88.75,-88.75,2727.0,-34.637481689453125,0.25315961241722107
37,-88.75,-86.25,2718.0,-34.637481689453125,0.2296852469444275
38,-88.75,-83.75,2709.0,-34.637481689453125,0.22698776423931122
39,-88.75,-81.25,2701.0,-34.637481689453125,0.2167583703994751
40,-88.75,-78.75,2694.0,-34.637481689453125,0.22822172939777374
41,-88.75,-76.25,2686.0,-34.637481689453125,0.22958751022815704
42,-88.75,-73.75,2679.0,-34.637481689453125,0.21378439664840698
43,-88.75,-71.25,2672.0,-34.637481689453125,0.19033749401569366
44,-88.75,-68.75,2666.0,-34.637481689453125,0.19080857932567596
45,-88.75,-66.25,2660.0,-34.637481689453125,0.19185899198055267
46,-88.75,-63.75,2656.0,-34.637481689453125,0.17960138618946075
47,-88.75,-61.25,2653.0,-34.637481689453125,0.18481720983982086
48,-88.75,-58.75,2651.0,-34.637481689453125,0.16931556165218353
49,-88.75,-56.25,2650.0,-34.637481689453125,0.16642947494983673
50,-88.75,-53.75,2649.0,-34.637481689453125,0.16987866163253784
51,-88.75,-51.25,2648.0,-34.637481689453125,0.1720992475748062
52,-88.75,-48.75,2646.0,-34.637481689453125,0.1589626669883728
53,-88.75,-46.25,2645.0,-34.637481689453125,0.1537289321422577
54,-88.75,-43.75,2642.0,-34.637481689453125,0.17793305218219757
55,-88.75,-41.25,2638.0,-34.637481689453125,0.1696089655160904
56,-88.75,-38.75,2633.0,-34.637481689453125,0.16368967294692993
57,-88.75,-36.25,2629.0,-34.637481689453125,0.14649994671344757
58,-88.75,-33.75,2625.0,-34.637481689453125,0.1470237523317337
59,-88.75,-31.25,2622.0,-34.637481689453125,0.13764028251171112
60,-88.75,-28.75,2621.0,-34.637481689453125,0.1497366577386856
61,-88.75,-26.25,2622.0,-34.637481689453125,0.14865809679031372
62,-88.75,-23.75,2623.0,-34.637481689453125,0.15218417346477509
63,-88.75,-21.25,2626.0,-34.637481689453125,0.1429058313369751
64,-88.75,-18.75,2631.0,-34.637481689453125,0.13181865215301514
65,-88.75,-16.25,2636.0,-34.637481689453125,0.13557931780815125
66,-88.75,-13.75,2642.0,-34.637481689453125,0.14498893916606903
67,-88.75,-11.25,2648.0,-34.637481689453125,0.14354458451271057
68,-88.75,-8.75,2655.0,-34.637481689453125,0.13183040916919708
69,-88.75,-6.25,2663.0,-34.637481689453125,0.13041220605373383
70,-88.75,-3.75,2671.0,-34.637481689453125,0.13885943591594696
71,-88.75,-1.25,2680.0,-34.637481689453125,0.14989086985588074
72,-88.75,1.25,2689.0,-34.637481689453125,0.14771486818790436
73,-88.75,3.75,2697.0,-34.637481689453125,0.14906540513038635
